tid,rut_jefe,did,nombre
40,65207641-6,430,Inversiones Almacen
58,21332506-k,1084,La Casa de la Abuela Antiguedades
36,93892863-0,74,Almacen Cuspides
23,57689116-4,957,Almacen Almeja
100,51844875-7,170,Casa Antigua
73,39899583-k,100,Almacen Fluido
96,69719019-8,892,Camelias Almacen
2,17195049-k,213,Casa Antigua
45,31111145-0,532,Familiares Almacen
6,72430402-8,462,Almacen Camino
96,69719019-8,892,Camelias Almacen
1,86516801-2,1049,Tesoros el dia 42
91,53642790-2,141,Fuera del atico
11,95541523-k,1053,Steak Almacen
59,34761062-3,494,Almacen Madera
60,64750606-2,670,Fantasia Almacen
2,17195049-k,213,Casa Antigua
45,31111145-0,532,Familiares Almacen
90,24215497-5,294,Almacen Receta
40,65207641-6,430,Inversiones Almacen
74,17327495-5,1011,Almacen Hada
94,19706256-8,858,Steak Almacen
32,73324033-4,777,Paw Almacen
70,68208732-3,962,Almacen Intensas
18,91935122-5,615,Steak Almacen
41,61627352-3,212,Oda Almacen
32,73324033-4,777,Paw Almacen
23,57689116-4,957,Almacen Almeja
61,19552470-k,145,Pimienta Almacen
63,85779616-0,285,Almacen Caninos
43,92696219-1,876,Propiedades Almacen
72,55514185-8,156,Algortimos Almacen
101,30492842-5,194,Almacen Fluido
19,10094201-1,324,Buqui Almacen
5,42938886-4,990,La Casa de la Abuela Antiguedades
78,48979148-k,172,Lacio Almacen
49,33917878-k,21,Almacen Cables
84,73540572-1,711,Almacen Hada
12,96951878-3,99,Almendras Almacen
11,95541523-k,1053,Steak Almacen
58,21332506-k,1084,La Casa de la Abuela Antiguedades
90,24215497-5,294,Almacen Receta
77,41966463-4,309,Familiares Almacen
14,91844038-0,377,Calle Antigua
35,44281327-2,567,Almacen Cuspides
68,11636170-1,632,Almacen Elegante
79,12842111-4,542,Almacen Ecuacion
61,19552470-k,145,Pimienta Almacen
53,72478850-5,90,Almacen Intensas
95,16506263-9,730,Almendras Almacen
9,69768825-0,229,Almacen Idea
10,90922919-7,97,Almacen Caninos
15,69568679-k,582,Algortimos Almacen
34,46524982-k,183,Paw Almacen
82,25107105-5,950,Quetzal Almacen
45,31111145-0,532,Familiares Almacen
62,68133700-8,773,Oda Almacen
77,41966463-4,309,Familiares Almacen
80,56725663-4,393,Antique Me
97,45510769-5,225,Luz Almacen
95,16506263-9,730,Almendras Almacen
82,25107105-5,950,Quetzal Almacen
77,41966463-4,309,Familiares Almacen
84,73540572-1,711,Almacen Hada
39,92270331-0,1048,Steak Almacen
0,80353279-6,506,Almacen Centrales
82,25107105-5,950,Quetzal Almacen
72,55514185-8,156,Algortimos Almacen
11,95541523-k,1053,Steak Almacen
29,78897889-8,1063,Almacen Tulipan
52,16413527-6,618,Almacen Petalos
74,17327495-5,1011,Almacen Hada
8,79757833-9,122,Couture Almacen
21,73031326-8,823,Almacen Afinidad
69,48986292-1,93,Almacen Recreativas
56,70582800-8,1003,Algortimos Almacen
75,91231636-k,882,Almacen Incidente
34,46524982-k,183,Paw Almacen
14,91844038-0,377,Calle Antigua
62,68133700-8,773,Oda Almacen
84,73540572-1,711,Almacen Hada
5,42938886-4,990,La Casa de la Abuela Antiguedades
64,32142510-0,52,Almacen Camino
0,80353279-6,506,Almacen Centrales
40,65207641-6,430,Inversiones Almacen
3,22240154-2,102,Almendras Almacen
17,66045545-0,679,Focus Almacen
79,12842111-4,542,Almacen Ecuacion
28,39089742-1,1094,Almacen Madera
101,30492842-5,194,Almacen Fluido
67,55676647-9,241,Almacen Incidente
30,42216276-3,819,Almacen Autor
35,44281327-2,567,Almacen Cuspides
15,69568679-k,582,Algortimos Almacen
27,25844754-9,841,Almacen Incidente
20,45008209-0,523,Familiares Almacen
96,69719019-8,892,Camelias Almacen
22,72800848-2,648,Almacen Andares
77,41966463-4,309,Familiares Almacen
27,25844754-9,841,Almacen Incidente
83,14106853-9,613,Fuera del atico
14,91844038-0,377,Calle Antigua
15,69568679-k,582,Algortimos Almacen
67,55676647-9,241,Almacen Incidente
15,69568679-k,582,Algortimos Almacen
87,16833235-1,594,Buqui Almacen
47,38628283-8,286,Almacen Camino
38,56914123-0,701,Almacen Ecuacion
26,39949282-3,404,Almacen Centrales
58,21332506-k,1084,La Casa de la Abuela Antiguedades
27,25844754-9,841,Almacen Incidente
93,85384785-2,772,Almacen Cambio
89,21201270-k,182,Fuera del atico
60,64750606-2,670,Fantasia Almacen
84,73540572-1,711,Almacen Hada
0,80353279-6,506,Almacen Centrales
62,68133700-8,773,Oda Almacen
4,90155266-5,429,Fuera del atico
21,73031326-8,823,Almacen Afinidad
2,17195049-k,213,Casa Antigua
35,44281327-2,567,Almacen Cuspides
51,43831962-k,1074,Oda Almacen
93,85384785-2,772,Almacen Cambio
25,72159761-k,272,Steak Almacen
96,69719019-8,892,Camelias Almacen
98,77757931-2,987,Almacen Almeja
55,65346159-3,1068,Almacen Camino
83,14106853-9,613,Fuera del atico
69,48986292-1,93,Almacen Recreativas
26,39949282-3,404,Almacen Centrales
26,39949282-3,404,Almacen Centrales
1,86516801-2,1049,Tesoros el dia 42
38,56914123-0,701,Almacen Ecuacion
30,42216276-3,819,Almacen Autor
85,90966759-3,1061,Almacen Almeja
40,65207641-6,430,Inversiones Almacen
13,96900689-8,387,Almacen Fluido
88,53644614-1,1064,Backup Almacen
63,85779616-0,285,Almacen Caninos
97,45510769-5,225,Luz Almacen
46,22234852-8,528,Almacen Fortaleza
101,30492842-5,194,Almacen Fluido
92,43597800-2,657,Almacen Caninos
92,43597800-2,657,Almacen Caninos
44,47942200-1,59,exito Almacen
7,33491402-k,150,Couture Almacen
12,96951878-3,99,Almendras Almacen
78,48979148-k,172,Lacio Almacen
3,22240154-2,102,Almendras Almacen
0,80353279-6,506,Almacen Centrales
22,72800848-2,648,Almacen Andares
16,43926456-k,838,Fuera del cofre
13,96900689-8,387,Almacen Fluido
17,66045545-0,679,Focus Almacen
74,17327495-5,1011,Almacen Hada
37,10742402-4,835,Sustentables Almacen
74,17327495-5,1011,Almacen Hada
39,92270331-0,1048,Steak Almacen
85,90966759-3,1061,Almacen Almeja
46,22234852-8,528,Almacen Fortaleza
38,56914123-0,701,Almacen Ecuacion
2,17195049-k,213,Casa Antigua
10,90922919-7,97,Almacen Caninos
60,64750606-2,670,Fantasia Almacen
96,69719019-8,892,Camelias Almacen
13,96900689-8,387,Almacen Fluido
49,33917878-k,21,Almacen Cables
59,34761062-3,494,Almacen Madera
8,79757833-9,122,Couture Almacen
91,53642790-2,141,Fuera del atico
34,46524982-k,183,Paw Almacen
98,77757931-2,987,Almacen Almeja
5,42938886-4,990,La Casa de la Abuela Antiguedades
68,11636170-1,632,Almacen Elegante
29,78897889-8,1063,Almacen Tulipan
93,85384785-2,772,Almacen Cambio
75,91231636-k,882,Almacen Incidente
6,72430402-8,462,Almacen Camino
67,55676647-9,241,Almacen Incidente
4,90155266-5,429,Fuera del atico
85,90966759-3,1061,Almacen Almeja
14,91844038-0,377,Calle Antigua
17,66045545-0,679,Focus Almacen
10,90922919-7,97,Almacen Caninos
99,10119008-0,787,El cofre del tesoro
30,42216276-3,819,Almacen Autor
61,19552470-k,145,Pimienta Almacen
52,16413527-6,618,Almacen Petalos
42,88034198-7,492,Almacen Madera
81,21188032-5,866,Propiedades Almacen
95,16506263-9,730,Almendras Almacen
4,90155266-5,429,Fuera del atico
2,17195049-k,213,Casa Antigua
16,43926456-k,838,Fuera del cofre
54,82719046-2,698,Asteroide Cofre
51,43831962-k,1074,Oda Almacen
82,25107105-5,950,Quetzal Almacen
54,82719046-2,698,Asteroide Cofre
34,46524982-k,183,Paw Almacen
90,24215497-5,294,Almacen Receta
60,64750606-2,670,Fantasia Almacen
83,14106853-9,613,Fuera del atico
42,88034198-7,492,Almacen Madera
79,12842111-4,542,Almacen Ecuacion
29,78897889-8,1063,Almacen Tulipan
58,21332506-k,1084,La Casa de la Abuela Antiguedades
95,16506263-9,730,Almendras Almacen
56,70582800-8,1003,Algortimos Almacen
38,56914123-0,701,Almacen Ecuacion
5,42938886-4,990,La Casa de la Abuela Antiguedades
22,72800848-2,648,Almacen Andares
83,14106853-9,613,Fuera del atico
34,46524982-k,183,Paw Almacen
0,80353279-6,506,Almacen Centrales
16,43926456-k,838,Fuera del cofre
61,19552470-k,145,Pimienta Almacen
47,38628283-8,286,Almacen Camino
9,69768825-0,229,Almacen Idea
