boleta,compra_id,tid,rut_user,pid,did,cant
166,113,19,23748548-3,375,139,2
167,295,28,82809947-7,205,246,4
168,138,77,76591179-6,36,600,3
169,155,84,16239796-6,232,454,5
170,9,24,68505645-3,0,453,2
171,18,31,60370162-3,338,274,4
172,203,2,56790702-3,89,245,2
173,178,0,31642814-2,236,1022,3
174,94,10,77983700-9,207,543,5
175,112,58,86646016-7,156,886,2
176,38,70,77520112-6,327,51,4
177,47,1,94384917-k,95,575,5
178,35,61,49604231-k,140,435,1
179,296,16,75039658-5,110,267,5
180,92,10,31092780-5,293,611,5
181,95,101,94432090-3,163,403,1
182,319,84,55956975-5,379,656,4
183,287,12,57189229-4,310,4,1
184,148,11,45276568-3,6,48,2
185,3,14,75016224-k,45,201,3
186,163,13,66183219-3,49,607,5
187,144,36,87649058-7,329,264,4
188,25,72,74644456-7,22,1012,5
189,279,58,77625718-4,217,507,3
190,195,92,27650119-4,102,1065,1
191,12,72,19735595-6,239,1040,2
192,209,19,73453102-2,126,447,2
193,281,34,66119831-1,415,185,4
194,128,53,24129722-5,350,298,2
195,98,96,15298663-7,372,409,4
196,62,15,88132030-4,15,474,3
197,48,37,31092780-5,102,611,4
198,291,36,66646618-7,41,355,5
199,213,35,63532763-4,262,757,5
200,297,77,87861767-3,157,149,5
201,193,23,11644968-4,242,971,5
202,87,68,87991170-2,395,470,3
203,157,100,87544765-3,211,1062,1
204,20,84,83603309-4,21,849,1
205,274,19,92170041-5,172,277,5
206,234,76,58945079-5,274,179,2
207,144,36,87649058-7,410,264,4
208,178,0,31642814-2,233,1022,5
209,207,101,99294258-4,94,916,1
210,93,94,77625718-4,21,507,4
211,99,53,86664654-6,264,612,1
212,302,32,94821886-0,119,240,4
213,171,89,49337371-4,414,874,5
214,320,49,68428477-0,31,815,5
215,61,79,19735595-6,363,374,4
216,277,72,95855049-9,76,688,2
217,53,85,55705480-4,287,287,3
218,69,24,77520112-6,309,101,3
219,110,101,65227086-7,326,427,2
220,102,32,48345899-1,253,353,1
221,174,90,10517073-4,163,885,5
222,85,63,55956975-5,398,562,3
223,221,92,56064569-4,122,795,3
224,1,69,52189199-8,190,362,3
225,315,49,23713134-7,364,804,5
226,306,97,20909860-1,275,118,4
227,284,38,88132030-4,3,922,1
228,273,35,26905798-k,234,375,4
229,118,72,29858450-6,158,378,2
230,151,63,64903395-1,269,812,2
231,285,35,95667888-9,373,399,2
232,264,77,23000993-7,305,809,1
233,18,31,60370162-3,159,274,4
234,95,101,94432090-3,116,403,4
235,15,70,38563658-k,103,869,4
236,222,55,77520112-6,295,101,1
237,190,70,88806288-2,66,137,3
238,179,23,77625718-4,202,507,4
239,259,45,75523496-6,353,433,3
240,59,10,98642893-3,318,573,5
241,196,80,51693674-6,20,347,2
242,8,101,64370666-0,94,413,4
243,223,8,66183219-3,393,607,3
244,26,72,19735595-6,120,67,1
245,185,23,38204359-6,196,321,1
246,3,14,75016224-k,236,201,3
247,25,72,74644456-7,188,1012,2
248,178,0,31642814-2,417,1022,1
249,243,36,66646618-7,41,355,1
250,13,19,48795285-0,126,713,5
251,29,5,18167947-6,371,940,2
252,294,90,63360085-6,52,515,4
253,68,5,50062649-6,286,253,1
254,135,18,69402733-4,355,461,2
255,156,76,47738259-2,36,214,1
256,292,2,96392316-3,42,601,3
257,309,9,40403791-9,18,769,4
258,57,15,19844189-9,345,581,3
259,1,69,52189199-8,38,362,4
260,22,28,47329036-7,277,814,4
261,75,16,94888169-1,221,449,2
262,283,84,64221026-2,232,138,3
263,6,85,48925896-k,209,678,5
264,202,85,56064569-4,162,788,3
265,283,84,64221026-2,76,138,1
266,292,2,96392316-3,141,601,5
267,267,21,64903395-1,95,812,4
268,188,1,81498697-7,56,84,4
269,17,32,62550748-0,53,763,4
270,224,51,35288330-1,143,0,4
271,293,17,91790173-2,36,676,4
272,278,10,54230570-3,154,707,5
273,313,72,85973291-7,194,728,3
274,125,59,47329036-7,84,223,4
275,149,88,26905798-k,9,375,1
276,150,84,34566442-4,10,791,3
277,31,78,53523140-0,125,405,4
278,205,72,42655208-6,115,806,4
279,209,19,73453102-2,12,447,4
280,243,36,66646618-7,410,355,5
281,23,34,46012714-9,317,328,4
282,307,29,88730119-0,345,637,5
283,114,51,79735673-5,143,677,5
284,207,101,99294258-4,229,916,1
285,48,37,31092780-5,262,611,4
286,271,60,57836259-2,58,142,3
287,77,32,17723136-3,251,446,1
288,186,91,75016224-k,10,201,4
289,215,24,79693636-3,333,479,2
290,133,58,52157315-5,191,572,5
291,60,17,45276568-3,407,48,2
292,160,0,29646441-4,233,5,3
293,20,84,83603309-4,262,849,5
294,278,10,54230570-3,89,707,1
295,127,69,68428477-0,81,76,5
296,23,34,46012714-9,415,328,2
297,250,61,75523496-6,124,596,5
298,312,71,46012714-9,298,328,3
299,129,5,59814228-9,339,351,4
300,74,0,57836259-2,233,961,3
301,237,38,76413818-k,174,927,2
302,15,70,38563658-k,345,869,3
303,35,61,49604231-k,62,435,2
304,288,48,74759859-2,263,864,4
305,93,94,77625718-4,179,507,5
306,40,74,30862862-0,301,279,3
307,228,9,48925896-k,368,568,5
308,52,47,63824003-3,13,202,4
309,63,74,34424260-7,143,878,1
310,73,5,53089483-5,77,391,1
311,12,72,19735595-6,57,1040,1
312,314,85,11644968-4,75,971,1
313,32,58,92554015-3,191,1045,3
314,155,84,16239796-6,73,454,3
315,125,59,47329036-7,192,223,3
316,75,16,94888169-1,76,449,2
317,131,34,69698793-9,14,113,3
318,234,76,58945079-5,312,179,1
319,284,38,88132030-4,89,922,3
320,12,72,19735595-6,120,1040,2
321,320,49,68428477-0,190,815,5
322,232,25,98708700-5,6,1067,4
323,153,49,53523140-0,374,405,3
324,206,29,23711490-6,220,683,1
325,320,49,68428477-0,319,815,1
326,94,10,77983700-9,38,543,4
327,278,10,54230570-3,236,707,4
328,309,9,40403791-9,345,769,2
329,100,70,40424433-7,190,464,3
330,107,4,63214394-k,135,609,3
331,46,66,51153844-0,23,197,5
332,279,58,77625718-4,90,507,2
333,224,51,35288330-1,271,0,5
334,267,21,64903395-1,44,812,5
335,316,93,13572944-2,378,556,1
336,17,32,62550748-0,253,763,1
337,113,19,23748548-3,133,139,5
338,147,86,76871405-3,61,1017,3
339,62,15,88132030-4,137,474,5
340,142,72,19735595-6,115,1040,1
341,221,92,56064569-4,244,795,1
342,23,34,46012714-9,386,328,3
343,228,9,48925896-k,149,568,1
344,151,63,64903395-1,168,812,1
345,102,32,48345899-1,53,353,1
346,133,58,52157315-5,95,572,3
347,302,32,94821886-0,317,240,4
348,243,36,66646618-7,153,355,1
349,196,80,51693674-6,371,347,5
350,266,42,32690774-k,249,745,2
351,306,97,20909860-1,336,118,4
352,309,9,40403791-9,303,769,3
353,292,2,96392316-3,292,601,5
354,46,66,51153844-0,252,197,5
355,76,0,31642814-2,205,1022,4
356,249,54,35662780-6,296,480,2
357,276,9,30862862-0,303,279,4
358,258,42,65884381-8,294,635,3
359,236,77,79480331-5,267,368,5
360,62,15,88132030-4,300,474,3
361,87,68,87991170-2,332,470,3
362,237,38,76413818-k,331,927,3
363,23,34,46012714-9,83,328,3
364,22,28,47329036-7,356,814,4
365,14,22,98642893-3,39,573,2
366,113,19,23748548-3,12,139,1
367,316,93,13572944-2,339,556,3
368,253,15,27712443-2,92,718,2
369,131,34,69698793-9,126,113,3
370,179,23,77625718-4,204,507,5
371,170,89,80291272-2,317,667,3
372,17,32,62550748-0,246,763,5
373,112,58,86646016-7,95,886,2
374,92,10,31092780-5,265,611,2
375,298,35,81600879-4,232,1023,4
376,103,50,44126502-6,122,963,3
377,254,4,66920820-0,339,1077,1
378,158,0,34864642-7,205,619,3
379,162,36,88806288-2,410,551,5
380,75,16,94888169-1,143,449,5
381,226,43,54076655-k,396,897,5
382,40,74,30862862-0,216,279,5
383,30,34,55106753-k,348,300,3
384,28,11,97996738-1,46,1087,5
385,270,23,63214394-k,306,1008,4
386,274,19,92170041-5,133,277,5
387,295,28,82809947-7,254,246,3
388,3,14,75016224-k,75,201,4
389,164,70,58945079-5,13,979,5
390,58,22,27712443-2,18,997,5
391,109,76,49974632-6,35,764,4
392,153,49,53523140-0,52,405,1
393,95,101,94432090-3,238,403,5
394,246,45,83584289-4,353,901,4
395,265,73,83290634-4,181,6,4
396,154,83,32366948-1,358,1001,3
397,82,32,79425659-4,110,42,1
398,132,82,63951440-4,194,998,3
399,170,89,80291272-2,213,667,1
400,38,70,77520112-6,13,51,3
401,73,5,53089483-5,286,391,5
402,120,77,22060310-5,36,1086,5
403,160,0,29646441-4,130,5,2
404,222,55,77520112-6,192,101,5
405,17,32,62550748-0,91,763,1
406,95,101,94432090-3,279,403,5
407,320,49,68428477-0,123,815,3
408,87,68,87991170-2,162,470,2
409,53,85,55705480-4,2,287,4
410,80,60,86646016-7,2,396,5
411,166,16,69698793-9,143,1070,4
412,178,0,31642814-2,54,1022,1
413,39,70,77520112-6,25,51,5
414,43,52,57836259-2,292,961,3
415,250,61,75523496-6,272,596,4
416,232,25,98708700-5,295,1067,4
417,272,46,49993665-6,397,921,2
418,78,30,62785039-5,400,254,3
419,281,34,66119831-1,88,185,3
420,237,38,76413818-k,111,927,2
421,174,90,10517073-4,112,885,1
422,221,92,56064569-4,417,795,5
423,226,43,54076655-k,184,897,4
424,31,78,53523140-0,37,405,3
425,314,85,11644968-4,295,971,3
426,308,85,96557795-5,2,1089,4
427,113,19,23748548-3,80,139,4
428,89,69,35066595-1,27,216,3
429,93,94,77625718-4,296,507,5
430,238,67,38204359-6,202,321,4
431,17,32,62550748-0,204,763,4
432,66,60,44253237-0,196,451,4
433,71,13,94384917-k,164,575,1
434,185,23,38204359-6,355,321,1
435,159,68,69141385-3,167,143,2
436,58,22,27712443-2,363,997,2
437,189,23,75153238-5,24,847,4
438,98,96,15298663-7,73,409,3
439,69,24,77520112-6,45,101,5
440,186,91,75016224-k,263,201,5
441,262,32,95855049-9,91,230,3
442,58,22,27712443-2,33,997,5
443,59,10,98642893-3,127,573,5
444,3,14,75016224-k,26,201,5
445,52,47,63824003-3,190,202,5
446,149,88,26905798-k,129,375,3
447,44,33,95598580-k,44,1091,1
448,99,53,86664654-6,154,612,2
449,183,5,92170041-5,175,649,1
450,9,24,68505645-3,229,453,3
451,306,97,20909860-1,52,118,2
452,60,17,45276568-3,362,48,1
453,102,32,48345899-1,246,353,5
454,233,33,65238271-1,370,13,3
455,3,14,75016224-k,2,201,4
456,125,59,47329036-7,400,223,3
457,186,91,75016224-k,2,201,1
458,46,66,51153844-0,189,197,5
459,21,38,23713134-7,239,860,5
460,251,64,50270274-2,371,136,3
461,210,84,79480331-5,262,768,1
462,84,64,77209293-8,277,926,5
463,276,9,30862862-0,214,279,5
464,111,35,76413818-k,262,152,1
465,27,71,87544765-3,54,173,4
466,231,90,40403791-9,401,769,1
467,133,58,52157315-5,159,572,4
468,95,101,94432090-3,254,403,5
469,33,3,66625711-1,367,557,1
470,43,52,57836259-2,220,961,3
471,155,84,16239796-6,206,454,5
472,214,62,85411178-7,35,735,5
473,152,74,65573855-k,226,873,4
474,143,45,57836259-2,160,1085,4
475,315,49,23713134-7,52,804,1
476,109,76,49974632-6,84,764,3
477,88,6,66258468-1,395,603,4
478,107,4,63214394-k,79,609,2
479,69,24,77520112-6,229,101,4
480,158,0,34864642-7,250,619,5
481,164,70,58945079-5,234,979,3
482,97,76,88806288-2,161,137,4
483,135,18,69402733-4,231,461,3
484,283,84,64221026-2,21,138,1
485,27,71,87544765-3,184,173,2
486,103,50,44126502-6,417,963,1
487,25,72,74644456-7,115,1012,4
488,160,0,29646441-4,104,5,3
489,235,49,59332921-6,255,86,4
490,179,23,77625718-4,152,507,2
491,169,1,48925896-k,258,568,5
492,81,11,87813399-4,320,338,3
493,135,18,69402733-4,223,461,4
494,227,17,91790173-2,357,563,4
495,200,86,37200573-4,93,930,5
496,104,61,54230570-3,272,224,2
497,222,55,77520112-6,23,101,3
498,102,32,48345899-1,110,353,1
499,75,16,94888169-1,117,449,2
500,199,30,97996738-1,77,465,2
501,48,37,31092780-5,32,611,2
502,202,85,56064569-4,185,788,4
503,205,72,42655208-6,417,806,5
504,74,0,57836259-2,416,961,5
505,142,72,19735595-6,7,1040,2
506,188,1,81498697-7,377,84,3
507,17,32,62550748-0,25,763,2
508,84,64,77209293-8,187,926,4
509,253,15,27712443-2,137,718,4
510,60,17,45276568-3,254,48,3
511,93,94,77625718-4,25,507,3
512,311,33,40675138-4,305,425,1
513,21,38,23713134-7,325,860,4
514,33,3,66625711-1,85,557,1
515,296,16,75039658-5,221,267,2
516,167,4,87813399-4,389,123,4
517,67,5,52189199-8,339,1042,1
518,31,78,53523140-0,158,405,2
519,60,17,45276568-3,156,48,3
520,247,28,47329036-7,343,1058,5
521,52,47,63824003-3,84,202,4
522,320,49,68428477-0,255,815,3
523,99,53,86664654-6,322,612,5
524,245,45,87861767-3,160,884,2
525,221,92,56064569-4,90,795,1
526,123,21,52189199-8,394,1042,1
527,261,7,55956975-5,125,656,4
528,115,33,40350724-5,412,638,4
529,221,92,56064569-4,412,795,2
530,211,64,44126502-6,32,762,4
531,125,59,47329036-7,25,223,1
532,172,50,49337371-4,342,712,3
533,37,72,53523140-0,22,569,4
534,183,5,92170041-5,371,649,5
535,309,9,40403791-9,377,769,2
536,130,10,17474518-8,236,68,2
537,299,101,36081017-8,368,951,5
538,81,11,87813399-4,6,338,2
539,198,5,59814228-9,175,397,4
540,188,1,81498697-7,243,84,3
541,317,67,81498697-7,370,84,1
542,303,23,69373271-9,246,111,1
543,175,55,49974632-6,53,929,2
544,208,64,77209293-8,104,654,2
545,103,50,44126502-6,235,963,2
546,233,33,65238271-1,44,13,1
547,299,101,36081017-8,193,951,1
548,18,31,60370162-3,33,274,1
549,104,61,54230570-3,238,224,1
550,67,5,52189199-8,178,1042,1
551,2,10,27712443-2,41,997,3
552,74,0,57836259-2,321,961,2
553,100,70,40424433-7,103,464,1
554,256,35,63824003-3,373,937,4
555,138,77,76591179-6,247,600,1
556,133,58,52157315-5,217,572,3
557,225,19,59814228-9,126,397,1
558,127,69,68428477-0,178,76,2
559,134,100,81698647-8,243,306,5
560,105,62,13463271-2,356,797,1
561,46,66,51153844-0,301,197,2
562,296,16,75039658-5,117,267,4
563,315,49,23713134-7,258,804,3
564,267,21,64903395-1,39,812,5
565,86,35,67913619-4,333,18,5
566,97,76,88806288-2,193,137,1
567,51,49,63884576-8,374,726,4
568,248,81,32690774-k,57,134,4
569,214,62,85411178-7,356,735,3
570,255,27,82673938-k,95,629,3
571,244,58,14761964-2,159,50,4
572,12,72,19735595-6,194,1040,5
573,179,23,77625718-4,360,507,1
574,72,34,59885368-1,52,1082,1
575,230,41,62420431-k,262,1076,2
576,127,69,68428477-0,190,76,5
577,104,61,54230570-3,153,224,3
578,4,70,81492646-k,235,592,1
579,278,10,54230570-3,371,707,1
580,136,74,49993665-6,7,29,5
581,281,34,66119831-1,398,185,3
582,170,89,80291272-2,87,667,5
583,81,11,87813399-4,361,338,3
584,146,15,20640357-8,349,673,3
585,190,70,88806288-2,235,137,4
586,230,41,62420431-k,307,1076,2
587,224,51,35288330-1,296,0,4
588,269,38,70735043-1,333,406,4
589,225,19,59814228-9,74,397,4
590,162,36,88806288-2,329,551,5
591,264,77,23000993-7,94,809,4
592,44,33,95598580-k,213,1091,1
593,296,16,75039658-5,143,267,2
594,124,2,48345899-1,141,918,4
595,124,2,48345899-1,276,918,3
596,0,74,44253237-0,323,755,1
597,3,14,75016224-k,348,201,2
598,222,55,77520112-6,198,101,3
599,162,36,88806288-2,191,551,3
600,278,10,54230570-3,138,707,1
601,258,42,65884381-8,65,635,1
602,159,68,69141385-3,155,143,4
603,277,72,95855049-9,403,688,2
604,173,70,77520112-6,13,101,4
605,10,58,66119831-1,191,920,1
606,133,58,52157315-5,156,572,3
607,221,92,56064569-4,296,795,5
608,76,0,31642814-2,233,1022,5
609,214,62,85411178-7,3,735,3
610,239,13,46680387-1,164,177,3
611,302,32,94821886-0,246,240,3
612,161,84,55106753-k,206,300,3
613,132,82,63951440-4,77,998,5
614,64,5,94821886-0,165,147,3
615,50,44,83290634-4,315,6,1
616,100,70,40424433-7,232,464,2
617,234,76,58945079-5,1,179,1
618,32,58,92554015-3,226,1045,2
619,315,49,23713134-7,31,804,3
620,81,11,87813399-4,111,338,2
621,129,5,59814228-9,167,351,2
622,179,23,77625718-4,378,507,1
623,180,66,50270274-2,340,685,3
624,314,85,11644968-4,332,971,5
625,161,84,55106753-k,379,300,2
626,239,13,46680387-1,282,177,5
627,26,72,19735595-6,158,67,5
628,79,17,83603309-4,129,849,3
629,202,85,56064569-4,163,788,5
630,37,72,53523140-0,74,569,5
631,262,32,95855049-9,131,230,2
632,264,77,23000993-7,146,809,3
633,83,43,78463527-9,5,7,2
634,277,72,95855049-9,378,688,2
635,193,23,11644968-4,378,971,1
636,290,82,18812547-6,372,653,3
637,138,77,76591179-6,305,600,2
638,115,33,40350724-5,305,638,3
639,26,72,19735595-6,22,67,3
640,131,34,69698793-9,130,113,2
641,318,93,19844189-9,139,510,3
642,142,72,19735595-6,120,1040,5
643,146,15,20640357-8,41,673,5
644,260,77,59885368-1,32,877,3
645,24,88,69140468-4,26,209,3
646,7,45,17474518-8,164,434,3
647,295,28,82809947-7,107,246,3
648,243,36,66646618-7,329,355,5
649,279,58,77625718-4,191,507,5
650,51,49,63884576-8,163,726,4
651,56,10,31706054-8,172,703,1
652,151,63,64903395-1,340,812,2
653,142,72,19735595-6,76,1040,4
654,202,85,56064569-4,75,788,4
655,65,95,73453102-2,271,282,4
656,220,42,87861767-3,249,149,2
657,13,19,48795285-0,80,713,5
658,114,51,79735673-5,291,677,1
659,24,88,69140468-4,100,209,4
660,295,28,82809947-7,31,246,4
661,21,38,23713134-7,79,860,2
662,84,64,77209293-8,71,926,3
663,14,22,98642893-3,94,573,5
664,23,34,46012714-9,251,328,2
665,167,4,87813399-4,79,123,5
666,228,9,48925896-k,413,568,1
667,256,35,63824003-3,28,937,1
668,129,5,59814228-9,165,351,3
669,224,51,35288330-1,287,0,4
670,104,61,54230570-3,179,224,5
671,107,4,63214394-k,279,609,3
672,161,84,55106753-k,262,300,2
673,131,34,69698793-9,289,113,4
674,144,36,87649058-7,9,264,5
675,322,33,89336201-0,26,646,1
676,129,5,59814228-9,175,351,3
677,263,62,25070905-6,356,312,1
678,215,24,79693636-3,84,479,5
679,251,64,50270274-2,15,136,1
680,171,89,49337371-4,171,874,2
681,151,63,64903395-1,369,812,4
682,201,79,74644456-7,316,367,3
683,282,22,64272663-3,38,280,2
684,136,74,49993665-6,216,29,5
685,81,11,87813399-4,46,338,2
686,98,96,15298663-7,43,409,3
687,162,36,88806288-2,41,551,4
688,78,30,62785039-5,112,254,1
689,270,23,63214394-k,239,1008,5
690,312,71,46012714-9,386,328,2
691,60,17,45276568-3,63,48,5
692,245,45,87861767-3,350,884,5
693,272,46,49993665-6,283,921,4
694,128,53,24129722-5,13,298,1
695,29,5,18167947-6,122,940,5
696,65,95,73453102-2,51,282,1
697,266,42,32690774-k,197,745,4
698,148,11,45276568-3,135,48,1
699,28,11,97996738-1,92,1087,1
700,162,36,88806288-2,179,551,5
701,78,30,62785039-5,336,254,2
702,199,30,97996738-1,197,465,2
703,278,10,54230570-3,390,707,1
704,9,24,68505645-3,325,453,2
705,319,84,55956975-5,62,656,5
706,97,76,88806288-2,1,137,3
707,323,33,65238271-1,305,666,4
708,73,5,53089483-5,148,391,5
709,288,48,74759859-2,332,864,2
710,261,7,55956975-5,373,656,2
711,179,23,77625718-4,403,507,3
712,235,49,59332921-6,314,86,5
713,224,51,35288330-1,22,0,5
714,137,14,48060937-9,224,72,2
715,26,72,19735595-6,125,67,4
716,227,17,91790173-2,218,563,4
717,251,64,50270274-2,194,136,3
718,303,23,69373271-9,186,111,4
719,76,0,31642814-2,416,1022,3
720,299,101,36081017-8,163,951,4
721,58,22,27712443-2,319,997,3
722,164,70,58945079-5,66,979,2
723,109,76,49974632-6,169,764,1
724,154,83,32366948-1,270,1001,3
725,106,59,87544765-3,110,173,2
726,297,77,87861767-3,86,149,5
727,2,10,27712443-2,295,997,2
728,188,1,81498697-7,175,84,4
729,284,38,88132030-4,142,922,2
730,104,61,54230570-3,140,224,4
731,252,16,91223172-0,315,955,4
732,269,38,70735043-1,368,406,5
733,152,74,65573855-k,301,873,1
734,305,53,77209293-8,403,684,3
735,211,64,44126502-6,277,762,4
736,40,74,30862862-0,247,279,3
737,293,17,91790173-2,271,676,2
738,209,19,73453102-2,45,447,3
739,90,78,76413818-k,320,1046,5
740,156,76,47738259-2,364,214,1
741,171,89,49337371-4,317,874,5
742,169,1,48925896-k,411,568,5
743,148,11,45276568-3,46,48,1
744,233,33,65238271-1,85,13,5
745,230,41,62420431-k,254,1076,4
746,278,10,54230570-3,38,707,1
747,131,34,69698793-9,348,113,4
748,7,45,17474518-8,73,434,1
749,37,72,53523140-0,115,569,5
750,56,10,31706054-8,371,703,2
751,281,34,66119831-1,33,185,4
752,91,5,61993529-2,394,219,2
753,285,35,95667888-9,169,399,3
754,185,23,38204359-6,302,321,2
755,27,71,87544765-3,386,173,4
756,315,49,23713134-7,314,804,2
757,274,19,92170041-5,69,277,5
758,159,68,69141385-3,241,143,2
759,250,61,75523496-6,214,596,4
760,154,83,32366948-1,178,1001,3
761,272,46,49993665-6,381,921,3
762,164,70,58945079-5,232,979,1
763,136,74,49993665-6,143,29,5
764,265,73,83290634-4,110,6,5
765,226,43,54076655-k,343,897,4
766,208,64,77209293-8,60,654,1
767,99,53,86664654-6,239,612,4
768,252,16,91223172-0,57,955,1
769,177,46,87813399-4,386,123,2
770,142,72,19735595-6,188,1040,4
771,146,15,20640357-8,132,673,2
